industry_pair,stock_pair,spread_std,total_avg_volume,annualized_return,max_drawdown,sharpe_ratio
机械设备-汽车,"('600499.SH', '601966.SH')",1.0567860972947178,428580559.07936513,-0.9999983199999998,-1.4545902799304116,0.3480441651140807
机械设备-交通运输,"('601608.SH', '600153.SH')",0.7306820616496575,476007286.25396824,-0.9057551499999996,-1.5796253966600795,0.881122209575524
机械设备-交通运输,"('601608.SH', '601000.SH')",0.6396858913464332,396591759.4603175,-0.9057551499999996,-1.5796253966600795,0.881122209575524
机械设备-钢铁,"('002690.SZ', '000932.SZ')",1.3976743580924733,545855902.2539682,64.39284254,-3.0910613899839747,-2.5240675063854647
机械设备-钢铁,"('601717.SH', '600282.SH')",1.4530252210646661,531659683.3015873,64.39284254,-3.0910613899839747,-2.5240675063854647
机械设备-食品饮料,"('600528.SH', '002507.SZ')",0.6421155606929386,299176833.8888889,4611.839358399994,-0.9253821771090204,3.27944196980663
机械设备-食品饮料,"('002690.SZ', '300146.SZ')",0.6469499190910584,297900270.1111111,4611.839358399994,-0.9253821771090204,3.27944196980663
机械设备-煤炭,"('002690.SZ', '000723.SZ')",1.1178554001435859,374543822.60317457,3.5868014299999995,-3.555644422793314,-1.4514731374422765
机械设备-煤炭,"('600499.SH', '000937.SZ')",0.5700028831967342,358845335.9206349,3.5868014299999995,-3.555644422793314,-1.4514731374422765
机械设备-石油石化,"('600499.SH', '600583.SH')",0.9015179130356696,341271067.3015873,0.28557123999999967,-0.05474529709746734,1.9640263191656442
机械设备-石油石化,"('002690.SZ', '600583.SH')",1.461124090158831,291648990.8571428,0.28557123999999967,-0.05474529709746734,1.9640263191656442
机械设备-建筑材料,"('600499.SH', '601636.SH')",0.7485028122023236,372276933.06349206,-2.6162627499999997,-2.7553254799999998,-1.0490917967257822
机械设备-建筑材料,"('002690.SZ', '601636.SH')",1.1811546762074252,322654856.61904764,-2.6162627499999997,-2.7553254799999998,-1.0490917967257822
机械设备-建筑装饰,"('000039.SZ', '600970.SH')",0.6094674588366163,447775052.0476191,-0.42674513999999963,-0.7867816556970102,0.005251283109157116
机械设备-建筑装饰,"('600499.SH', '600720.SH')",0.9410819433942164,258960611.25396824,-0.42674513999999963,-0.7867816556970102,0.005251283109157116
机械设备-商贸零售,"('600499.SH', '601061.SH')",0.8944762605142402,286636967.88095236,0.0,0.0,-inf
机械设备-轻工制造,"('600499.SH', '002078.SZ')",1.0429688055555246,405769822.0952381,0.33357484999999976,-0.05756106922858406,1.9839158888406074
机械设备-轻工制造,"('600528.SH', '002572.SZ')",1.4280120384742716,349784328.2222222,0.33357484999999976,-0.05756106922858406,1.9839158888406074
机械设备-纺织服饰,"('002690.SZ', '002867.SZ')",1.3065302197574467,237711745.30158728,0.7116825099999999,-0.7237411499999999,0.865578341191788
机械设备-社会服务,"('601106.SH', '300012.SZ')",0.9933205711008465,406287527.3888889,8.36989019,-4.46510300021839,0.8383613112461151
